compression_ratio,average,median,std_dev,mode,max,alpha,vertex_count,edge_probability,graph_type,graph_seed,source_file
1.0,1.0,1.0,0.0,1.0,1.0,1,5,0.05,unweighted,720582,20250628_163624_754_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,3,5,0.05,unweighted,135381,20250628_163629_002_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,5,5,0.05,unweighted,139924,20250628_163633_351_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,7,5,0.05,unweighted,408200,20250628_163637_410_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,15,5,0.05,unweighted,960573,20250628_163641_838_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,25,5,0.05,unweighted,807514,20250628_163645_938_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,35,5,0.05,unweighted,295018,20250628_163650_181_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,49,5,0.05,unweighted,763185,20250628_163654_434_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,1,5,0.1,unweighted,436610,20250628_163658_716_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,3,5,0.1,unweighted,934228,20250628_163702_196_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,5,5,0.1,unweighted,804016,20250628_163705_468_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,7,5,0.1,unweighted,281031,20250628_163708_565_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,15,5,0.1,unweighted,860256,20250628_163711_614_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,25,5,0.1,unweighted,783607,20250628_163714_782_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,35,5,0.1,unweighted,988778,20250628_163717_927_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,49,5,0.1,unweighted,628345,20250628_163721_162_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,1,5,0.15,unweighted,832552,20250628_163724_566_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,3,5,0.15,unweighted,314823,20250628_163728_099_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,5,5,0.15,unweighted,163297,20250628_163730_852_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,7,5,0.15,unweighted,53576,20250628_163734_125_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,15,5,0.15,unweighted,59314,20250628_163736_937_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,25,5,0.15,unweighted,395612,20250628_163740_339_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,35,5,0.15,unweighted,574755,20250628_163743_558_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,49,5,0.15,unweighted,279660,20250628_163746_526_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,1,5,0.2,unweighted,99104,20250628_163749_262_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,3,5,0.2,unweighted,1663,20250628_163752_133_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,5,5,0.2,unweighted,714752,20250628_163754_820_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,7,5,0.2,unweighted,648366,20250628_163757_932_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,15,5,0.2,unweighted,671344,20250628_163800_523_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,25,5,0.2,unweighted,129670,20250628_163803_504_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,35,5,0.2,unweighted,756354,20250628_163806_292_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,49,5,0.2,unweighted,529352,20250628_163809_182_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,1,5,0.25,unweighted,394012,20250628_163811_888_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,3,5,0.25,unweighted,433924,20250628_163815_009_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,5,5,0.25,unweighted,700387,20250628_163817_656_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,7,5,0.25,unweighted,227895,20250628_163820_786_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,15,5,0.25,unweighted,62008,20250628_163823_505_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,25,5,0.25,unweighted,895607,20250628_163826_623_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,35,5,0.25,unweighted,271635,20250628_163829_342_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,49,5,0.25,unweighted,274059,20250628_163832_418_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,1,5,0.3,unweighted,401329,20250628_163835_399_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,3,5,0.3,unweighted,75461,20250628_163838_065_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,5,5,0.3,unweighted,861347,20250628_163841_228_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,7,5,0.3,unweighted,43705,20250628_163844_159_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,15,5,0.3,unweighted,478864,20250628_163846_904_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,25,5,0.3,unweighted,699271,20250628_163849_660_stretch_stats.csv
1.0,1.0,1.0,0.0,1.0,1.0,35,5,0.3,unweighted,458763,20250628_163852_473_stretch_stats.csv
